id,stock_id,stock_name,stock_short,stock_open,stock_close,stock_high,stock_low,stock_volume,update_time
273,2,AMAZON,AMZN,298.1,304.13,304.56,298.1,4088600,"2014-03-20 10:21:45.898636"
274,3,YAHOO,YHOO,36.16,36.49,36.86,36.15,15734000,"2014-04-29 10:21:51.141452"
275,3,YAHOO,YHOO,36.68,36.64,36.86,36.56,14522800,"2014-04-27 10:21:51.141452"
276,3,YAHOO,YHOO,36.66,35.76,36.79,35.51,16827800,"2014-04-25 10:21:51.141452"
277,3,YAHOO,YHOO,36.01,34.26,36.05,33.83,41049900,"2014-04-23 10:21:51.141452"
278,3,YAHOO,YHOO,34.11,33.07,34.37,32.53,47770200,"2014-04-21 10:21:51.141452"
279,3,YAHOO,YHOO,33.1,33.83,34.43,33.02,35486100,"2014-04-19 10:21:51.141452"
280,3,YAHOO,YHOO,34.19,34.87,35.0,33.95,21651200,"2014-04-17 10:21:51.141452"
281,3,YAHOO,YHOO,34.88,33.4,34.98,33.09,34024900,"2014-04-15 10:21:51.141452"
282,3,YAHOO,YHOO,32.64,32.87,33.48,32.15,28040700,"2014-04-13 10:21:51.141452"
283,3,YAHOO,YHOO,33.55,33.45,34.04,33.04,26322600,"2014-04-11 10:21:51.141452"
284,3,YAHOO,YHOO,33.93,34.21,34.28,32.64,50600400,"2014-04-09 10:21:51.141452"
285,3,YAHOO,YHOO,36.98,36.35,37.3,35.81,61599100,"2014-04-07 10:21:51.141452"
286,3,YAHOO,YHOO,36.29,36.38,36.6,35.55,28932700,"2014-04-05 10:21:51.141452"
287,3,YAHOO,YHOO,36.6,36.4,36.65,35.89,16685400,"2014-04-03 10:21:51.141452"
288,3,YAHOO,YHOO,36.71,36.14,36.85,36.11,17915200,"2014-04-01 10:21:51.141452"
289,3,YAHOO,YHOO,36.08,35.44,36.19,35.4,19051700,"2014-03-30 10:21:51.141452"
290,3,YAHOO,YHOO,35.82,35.24,35.82,34.77,17242300,"2014-03-28 10:21:51.141452"
291,3,YAHOO,YHOO,35.03,34.48,35.1,34.29,19391100,"2014-03-26 10:21:51.141452"
292,3,YAHOO,YHOO,34.67,33.99,35.0,33.65,30422000,"2014-03-24 10:21:51.141452"
293,3,YAHOO,YHOO,34.37,35.83,35.89,34.12,28720000,"2014-03-22 10:21:51.141452"
294,3,YAHOO,YHOO,35.89,35.95,36.44,35.25,23315600,"2014-03-20 10:21:51.141452"
295,5,APPLE,AAPL,537.76,541.65,541.87,536.77,7170000,"2014-04-29 10:21:56.307996"
296,5,APPLE,AAPL,542.38,542.55,543.48,540.26,6443600,"2014-04-27 10:21:56.307996"
297,5,APPLE,AAPL,541.39,538.79,542.5,537.64,5798000,"2014-04-25 10:21:56.307996"
298,5,APPLE,AAPL,539.81,531.82,540.0,530.58,9830400,"2014-04-23 10:21:56.307996"
299,5,APPLE,AAPL,528.02,523.47,530.9,521.89,10351800,"2014-04-21 10:21:56.307996"
300,5,APPLE,AAPL,525.19,523.44,526.12,518.7,8710300,"2014-04-19 10:21:56.307996"
301,5,APPLE,AAPL,522.64,530.32,530.49,522.02,7363200,"2014-04-17 10:21:56.307996"
302,5,APPLE,AAPL,530.68,523.48,532.24,523.17,8559000,"2014-04-15 10:21:56.307996"
303,5,APPLE,AAPL,519.0,519.61,522.83,517.14,9704200,"2014-04-13 10:21:56.307996"
304,5,APPLE,AAPL,521.9,521.68,522.16,517.21,7345500,"2014-04-11 10:21:56.307996"
305,5,APPLE,AAPL,520.27,517.96,521.64,511.33,9517500,"2014-04-09 10:21:56.307996"
306,5,APPLE,AAPL,518.05,519.01,521.09,514.14,7670200,"2014-04-07 10:21:56.307996"
307,5,APPLE,AAPL,520.0,524.94,527.76,519.2,10154800,"2014-04-05 10:21:56.307996"
308,5,APPLE,AAPL,525.34,531.17,532.14,523.96,6519600,"2014-04-03 10:21:56.307996"
309,5,APPLE,AAPL,528.31,531.7,531.83,526.5,7234400,"2014-04-01 10:21:56.307996"
310,5,APPLE,AAPL,529.06,524.75,531.13,524.45,13927700,"2014-03-30 10:21:56.307996"
311,5,APPLE,AAPL,568.21,567.77,570.0,560.73,27092600,"2014-03-28 10:21:56.307996"
312,5,APPLE,AAPL,564.53,571.94,571.99,563.96,13922800,"2014-03-26 10:21:56.307996"
313,5,APPLE,AAPL,572.8,594.09,595.75,572.55,23890900,"2014-03-24 10:21:56.307996"
314,5,APPLE,AAPL,593.74,592.33,595.98,589.51,12033400,"2014-03-22 10:21:56.307996"
315,5,APPLE,AAPL,592.64,590.09,599.43,589.8,16308600,"2014-03-20 10:21:56.307996"
316,4,Microsoft,MSFT,41.15,41.42,41.59,41.07,32605000,"2014-04-29 17:27:56.881372"
317,4,Microsoft,MSFT,41.44,41.35,41.66,41.17,28666700,"2014-04-27 17:27:56.881372"
318,4,Microsoft,MSFT,41.29,41.01,41.29,40.71,30139600,"2014-04-25 17:27:56.881372"
319,4,Microsoft,MSFT,41.25,39.87,41.39,39.64,51409600,"2014-04-23 17:27:56.881372"
320,4,Microsoft,MSFT,39.96,39.8,40.27,39.74,37559600,"2014-04-21 17:27:56.881372"
321,4,Microsoft,MSFT,39.75,39.82,39.93,39.2,35918600,"2014-04-19 17:27:56.881372"
322,4,Microsoft,MSFT,39.93,40.47,40.55,39.88,27398700,"2014-04-17 17:27:56.881372"
323,4,Microsoft,MSFT,40.44,39.36,40.69,39.09,45960800,"2014-04-15 17:27:56.881372"
324,4,Microsoft,MSFT,39.0,39.21,39.79,39.0,34330200,"2014-04-13 17:27:56.881372"
325,4,Microsoft,MSFT,39.11,39.18,39.41,38.9,32006600,"2014-04-11 17:27:56.881372"
326,4,Microsoft,MSFT,39.34,39.75,39.96,39.05,33968700,"2014-04-09 17:27:56.881372"
327,4,Microsoft,MSFT,40.06,40.4,40.42,39.91,30615800,"2014-04-07 17:27:56.881372"
328,4,Microsoft,MSFT,40.01,40.01,40.2,39.51,36688400,"2014-04-05 17:27:56.881372"
329,4,Microsoft,MSFT,40.13,39.94,40.15,39.79,22221200,"2014-04-03 17:27:56.881372"
330,4,Microsoft,MSFT,39.96,39.99,40.14,39.83,27056700,"2014-04-01 17:27:56.881372"
331,4,Microsoft,MSFT,39.99,39.69,39.99,39.47,24585300,"2014-03-30 17:27:56.881372"
332,4,Microsoft,MSFT,39.74,39.86,39.97,39.3,42132600,"2014-03-28 17:27:56.881372"
333,4,Microsoft,MSFT,40.29,39.91,40.68,39.75,56876800,"2014-03-26 17:27:56.881372"
334,4,Microsoft,MSFT,40.14,40.87,41.29,40.09,50603200,"2014-03-24 17:27:56.881372"
335,4,Microsoft,MSFT,41.1,40.51,41.19,40.39,29636200,"2014-03-22 17:27:56.881372"
336,4,Microsoft,MSFT,40.4,40.4,40.5,40.17,35458700,"2014-03-20 17:27:56.881372"
337,4,Microsoft,MSFT,41.15,41.42,41.59,41.07,32605000,"2014-04-29 17:29:05.669559"
